player;input;partida;kills;colocacao
HARDTREVS;controle;1;5;36
HARDTREVS;controle;2;5;12
HARDTREVS;controle;3;11;1
HARDTREVS;controle;4;3;5
HARDTREVS;controle;5;8;7
HARDTREVS;controle;6;1;35
HARDTREVS;controle;7;3;23
HARDTREVS;controle;8;2;27
VIEIRA;controle;1;0;44
VIEIRA;controle;2;0;44
VIEIRA;controle;3;4;27
VIEIRA;controle;4;11;23
VIEIRA;controle;5;13;1
VIEIRA;controle;6;8;1
VIEIRA;controle;7;9;6
VIEIRA;controle;8;5;10
iErickziN;controle;1;13;9
iErickziN;controle;2;11;11
iErickziN;controle;3;;
iErickziN;controle;4;6;27
iErickziN;controle;5;13;18
iErickziN;controle;6;1;41
iErickziN;controle;7;18;1
iErickziN;controle;8;19;1
MAIKI;controle;1;10;1
MAIKI;controle;2;1;40
MAIKI;controle;3;10;12
MAIKI;controle;4;0;40
MAIKI;controle;5;2;4
MAIKI;controle;6;4;34
MAIKI;controle;7;6;15
MAIKI;controle;8;2;28
SURILOCAO;mouse;1;1;22
SURILOCAO;mouse;2;2;15
SURILOCAO;mouse;3;0;28
SURILOCAO;mouse;4;1;29
SURILOCAO;mouse;5;1;37
SURILOCAO;mouse;6;2;27
SURILOCAO;mouse;7;0;44
SURILOCAO;mouse;8;5;14
FANTONFPS;mouse;1;2;33
FANTONFPS;mouse;2;1;31
FANTONFPS;mouse;3;4;20
FANTONFPS;mouse;4;1;8
FANTONFPS;mouse;5;1;30
FANTONFPS;mouse;6;0;31
FANTONFPS;mouse;7;4;12
FANTONFPS;mouse;8;0;40
K4RAMBITT;controle;1;4;25
K4RAMBITT;controle;2;1;33
K4RAMBITT;controle;3;7;2
K4RAMBITT;controle;4;5;26
K4RAMBITT;controle;5;7;12
K4RAMBITT;controle;6;4;24
K4RAMBITT;controle;7;3;21
K4RAMBITT;controle;8;2;33
RIVOTRIL;mouse;1;0;44
RIVOTRIL;mouse;2;0;44
RIVOTRIL;mouse;3;0;44
RIVOTRIL;mouse;4;0;44
RIVOTRIL;mouse;5;0;44
RIVOTRIL;mouse;6;0;44
RIVOTRIL;mouse;7;0;44
RIVOTRIL;mouse;8;0;44
EUCHAVS;controle;1;5;18
EUCHAVS;controle;2;3;10
EUCHAVS;controle;3;5;30
EUCHAVS;controle;4;0;44
EUCHAVS;controle;5;2;16
EUCHAVS;controle;6;6;15
EUCHAVS;controle;7;0;44
EUCHAVS;controle;8;6;11
VOORTZ;mouse;1;0;44
VOORTZ;mouse;2;2;44
VOORTZ;mouse;3;0;44
VOORTZ;mouse;4;8;4
VOORTZ;mouse;5;0;44
VOORTZ;mouse;6;4;26
VOORTZ;mouse;7;4;17
VOORTZ;mouse;8;0;44
MAUMAU;controle;1;4;10
MAUMAU;controle;2;9;19
MAUMAU;controle;3;2;7
MAUMAU;controle;4;;
MAUMAU;controle;5;3;8
MAUMAU;controle;6;7;7
MAUMAU;controle;7;8;10
MAUMAU;controle;8;6;5
KID AIMBOT;controle;1;7;4
KID AIMBOT;controle;2;6;13
KID AIMBOT;controle;3;0;44
KID AIMBOT;controle;4;6;10
KID AIMBOT;controle;5;3;33
KID AIMBOT;controle;6;4;12
KID AIMBOT;controle;7;0;44
KID AIMBOT;controle;8;0;44
DETONAMACHO;controle;1;1;34
DETONAMACHO;controle;2;2;18
DETONAMACHO;controle;3;0;28
DETONAMACHO;controle;4;1;30
DETONAMACHO;controle;5;1;40
