player;input;partida;kills;colocacao
DETONAMACHO;controle;1;0;44
DETONAMACHO;controle;2;12;2
DETONAMACHO;controle;3;8;14
DETONAMACHO;controle;4;4;25
DETONAMACHO;controle;5;0;41
VIPSOAP;mouse;1;2;25
VIPSOAP;mouse;2;3;4
VIPSOAP;mouse;3;3;32
VIPSOAP;mouse;4;4;8
VIPSOAP;mouse;5;0;44
FABINHOFPS;controle;1;6;26
FABINHOFPS;controle;2;6;17
FABINHOFPS;controle;3;2;40
FABINHOFPS;controle;4;7;40
FABINHOFPS;controle;5;1;40
LILLOUREN;controle;1;7;23
LILLOUREN;controle;2;4;15
LILLOUREN;controle;3;3;31
LILLOUREN;controle;4;2;17
LILLOUREN;controle;5;5;24
FELPIIS32;mouse;1;0;44
FELPIIS32;mouse;2;4;2
FELPIIS32;mouse;3;4;2
FELPIIS32;mouse;4;4;31
FELPIIS32;mouse;5;3;28
FINEKSS;mouse;1;6;14
FINEKSS;mouse;2;0;42
FINEKSS;mouse;3;6;18
FINEKSS;mouse;4;3;26
FINEKSS;mouse;5;10;2
YKZHARDCORE;mouse;1;7;15
YKZHARDCORE;mouse;2;12;14
YKZHARDCORE;mouse;3;4;36
YKZHARDCORE;mouse;4;1;18
YKZHARDCORE;mouse;5;7;10
MANOTEDD;mouse;1;1;35
MANOTEDD;mouse;2;3;30
MANOTEDD;mouse;3;1;34
MANOTEDD;mouse;4;2;33
MANOTEDD;mouse;5;7;15
DANBACK;mouse;1;3;19
DANBACK;mouse;2;4;33
DANBACK;mouse;3;3;21
DANBACK;mouse;4;8;15
DANBACK;mouse;5;1;8
MAIKI;controle;1;8;33
MAIKI;controle;2;5;7
MAIKI;controle;3;13;10
MAIKI;controle;4;10;12
MAIKI;controle;5;10;1
WILLOBRABO;controle;1;2;27
WILLOBRABO;controle;2;4;32
WILLOBRABO;controle;3;0;44
WILLOBRABO;controle;4;0;44
WILLOBRABO;controle;5;4;22
KID AIMBOT;controle;1;10;4
KID AIMBOT;controle;2;14;16
KID AIMBOT;controle;3;1;41
KID AIMBOT;controle;4;11;6
KID AIMBOT;controle;5;5;9
BARBARA VERNETI;controle;1;4;13
BARBARA VERNETI;controle;2;2;34
BARBARA VERNETI;controle;3;6;23
BARBARA VERNETI;controle;4;4;5
BARBARA VERNETI;controle;5;3;20
CLARA FIERCE;controle;1;7;8
CLARA FIERCE;controle;2;10;12
CLARA FIERCE;controle;3;6;19
CLARA FIERCE;controle;4;0;44
CLARA FIERCE;controle;5;7;6
BALTAFPS;mouse;1;1;36
BALTAFPS;mouse;2;6;5
BALTAFPS;mouse;3;4;11
BALTAFPS;mouse;4;4;2
BALTAFPS;mouse;5;3;33
GREGGO;mouse;1;2;20
GREGGO;mouse;2;3;22
GREGGO;mouse;3;0;39
GREGGO;mouse;4;6;22
GREGGO;mouse;5;9;26
GAARA144HZ;mouse;1;0;44
GAARA144HZ;mouse;2;4;24
GAARA144HZ;mouse;3;1;12
GAARA144HZ;mouse;4;1;44
GAARA144HZ;mouse;5;3;39
SURILOCAO;mouse;1;11;2
SURILOCAO;mouse;2;3;18
SURILOCAO;mouse;3;6;28
SURILOCAO;mouse;4;8;3
SURILOCAO;mouse;5;2;27
LUUCASLUUCAS;controle;1;0;44
LUUCASLUUCAS;controle;2;0;44
LUUCASLUUCAS;controle;3;0;44
LUUCASLUUCAS;controle;4;0;44
LUUCASLUUCAS;controle;5;0;44
NOTGUSTT;mouse;1;6;9
NOTGUSTT;mouse;2;2;6
NOTGUSTT;mouse;3;6;4
NOTGUSTT;mouse;4;2;39
NOTGUSTT;mouse;5;15;14
KADUZITOSS;mouse;1;0;34
KADUZITOSS;mouse;2;3;36
KADUZITOSS;mouse;3;3;37
KADUZITOSS;mouse;4;3;32
KADUZITOSS;mouse;5;7;11
KROLPLAYS;controle;1;3;20
KROLPLAYS;controle;2;0;39
KROLPLAYS;controle;3;7;3
KROLPLAYS;controle;4;4;23
KROLPLAYS;controle;5;0;44
SROGATA;controle;1;6;3
SROGATA;controle;2;6;19
SROGATA;controle;3;3;22
SROGATA;controle;4;0;44
SROGATA;controle;5;0;44
THACKOUTZ;mouse;1;7;5
THACKOUTZ;mouse;2;4;23
THACKOUTZ;mouse;3;4;5
THACKOUTZ;mouse;4;5;11
THACKOUTZ;mouse;5;3;13
VOORTZ;mouse;1;4;27
VOORTZ;mouse;2;0;44
VOORTZ;mouse;3;12;1
VOORTZ;mouse;4;2;16
VOORTZ;mouse;5;1;34
IGOTEE;mouse;1;4;37
IGOTEE;mouse;2;2;25
IGOTEE;mouse;3;2;17
IGOTEE;mouse;4;7;10
IGOTEE;mouse;5;8;5
MILLERDETONA;mouse;1;5;24
MILLERDETONA;mouse;2;1;28
MILLERDETONA;mouse;3;0;42
MILLERDETONA;mouse;4;2;19
MILLERDETONA;mouse;5;1;4
ZOIO GAMES13 (FOXTRO_RS);controle;1;3;30
