player;input;partida;kills;colocacao
GARCIA;mouse;1;4;31
GARCIA;mouse;2;2;14
GARCIA;mouse;3;2;27
GARCIA;mouse;4;6;5
GARCIA;mouse;5;4;4
DREYK;controle;1;8;17
DREYK;controle;2;3;16
DREYK;controle;3;5;3
DREYK;controle;4;7;8
DREYK;controle;5;6;22
MAGO;controle;1;3;21
MAGO;controle;2;2;15
MAGO;controle;3;5;20
MAGO;controle;4;3;27
MAGO;controle;5;4;16
ANXIETY;mouse;1;1;34
ANXIETY;mouse;2;2;34
ANXIETY;mouse;3;8;11
ANXIETY;mouse;4;5;11
ANXIETY;mouse;5;;
RIVOTRIL;mouse;1;0;40
RIVOTRIL;mouse;2;10;31
RIVOTRIL;mouse;3;7;21
RIVOTRIL;mouse;4;8;1
RIVOTRIL;mouse;5;;
NICE PADRIN;controle;1;10;11
NICE PADRIN;controle;2;10;5
NICE PADRIN;controle;3;0;44
NICE PADRIN;controle;4;0;44
NICE PADRIN;controle;5;3;30
DANTE ;controle;1;2;7
DANTE ;controle;2;2;38
DANTE ;controle;3;2;38
DANTE ;controle;4;4;24
DANTE ;controle;5;5;12
GETWAY;controle;1;7;23
GETWAY;controle;2;9;8
GETWAY;controle;3;4;22
GETWAY;controle;4;11;17
GETWAY;controle;5;3;32
MANUZINHA;mouse;1;0;3
MANUZINHA;mouse;2;2;11
MANUZINHA;mouse;3;0;7
MANUZINHA;mouse;4;0;31
MANUZINHA;mouse;5;2;28
REAPER;controle;1;3;18
REAPER;controle;2;4;18
REAPER;controle;3;9;18
REAPER;controle;4;5;4
REAPER;controle;5;8;2
SAVIOLI;controle;1;5;8
SAVIOLI;controle;2;6;6
SAVIOLI;controle;3;4;10
SAVIOLI;controle;4;2;18
SAVIOLI;controle;5;0;38
SAVYTZ;controle;1;0;44
SAVYTZ;controle;2;2;12
SAVYTZ;controle;3;5;12
SAVYTZ;controle;4;5;10
SAVYTZ;controle;5;0;44
MAUMAU;controle;1;4;12
MAUMAU;controle;2;4;9
MAUMAU;controle;3;6;2
MAUMAU;controle;4;4;3
MAUMAU;controle;5;8;10
VIEIRA;controle;1;11;9
VIEIRA;controle;2;16;1
VIEIRA;controle;3;12;6
VIEIRA;controle;4;2;9
VIEIRA;controle;5;4;14
XAVIER;mouse;1;0;44
XAVIER;mouse;2;0;44
XAVIER;mouse;3;0;44
XAVIER;mouse;4;;44
XAVIER;mouse;5;0;44
FOTTLE;controle;1;8;6
FOTTLE;controle;2;5;13
FOTTLE;controle;3;5;15
FOTTLE;controle;4;6;19
FOTTLE;controle;5;0;44
FLEMYS;controle;1;1;35
FLEMYS;controle;2;6;17
FLEMYS;controle;3;3;25
FLEMYS;controle;4;0;44
FLEMYS;controle;5;3;20
DUPRADO;controle;1;3;10
DUPRADO;controle;2;1;29
DUPRADO;controle;3;2;28
DUPRADO;controle;4;4;6
DUPRADO;controle;5;4;6
RAFILD;controle;1;3;24
RAFILD;controle;2;1;36
RAFILD;controle;3;5;4
RAFILD;controle;4;2;26
RAFILD;controle;5;3;8
MESTRE DO ESCUDO ;mouse;1;1;14
MESTRE DO ESCUDO ;mouse;2;1;23
MESTRE DO ESCUDO ;mouse;3;7;1
MESTRE DO ESCUDO ;mouse;4;2;15
MESTRE DO ESCUDO ;mouse;5;4;6
ZYH;controle;1;0;44
ZYH;controle;2;2;30
ZYH;controle;3;3;24
ZYH;controle;4;3;28
ZYH;controle;5;5;15
FODOVSKI;mouse;1;0;32
FODOVSKI;mouse;2;9;4
FODOVSKI;mouse;3;0;32
FODOVSKI;mouse;4;3;29
FODOVSKI;mouse;5;2;23
PANTERA;mouse;1;0;44
PANTERA;mouse;2;4;27
PANTERA;mouse;3;2;19
PANTERA;mouse;4;1;23
PANTERA;mouse;5;1;17
iErickziN;controle;1;11;13
iErickziN;controle;2;3;35
iErickziN;controle;3;9;9
iErickziN;controle;4;8;21
iErickziN;controle;5;14;1
HARDTREVS;controle;1;10;1
HARDTREVS;controle;2;8;2
HARDTREVS;controle;3;1;17
HARDTREVS;controle;4;10;2
HARDTREVS;controle;5;1;33
EVENGAMEPLAY;mouse;1;2;22
EVENGAMEPLAY;mouse;2;0;37
EVENGAMEPLAY;mouse;3;0;31
EVENGAMEPLAY;mouse;4;2;14
EVENGAMEPLAY;mouse;5;7;7
DIEGOSSAURO;controle;1;0;44
DIEGOSSAURO;controle;2;0;44
DIEGOSSAURO;controle;3;0;44
DIEGOSSAURO;controle;4;0;44
DIEGOSSAURO;controle;5;0;44
DEXTER ;controle;1;5;2
DEXTER ;controle;2;2;32
DEXTER ;controle;3;1;36
DEXTER ;controle;4;1;12
DEXTER ;controle;5;13;13
THENEVES;controle;1;2;5
THENEVES;controle;2;2;39
THENEVES;controle;3;1;37
THENEVES;controle;4;2;44
THENEVES;controle;5;1;31
DAVID;#N/D;1;0;44
DAVID;#N/D;2;0;44
DAVID;#N/D;3;0;44
DAVID;#N/D;4;0;44
DAVID;#N/D;5;0;44
DANIBOY;#N/D;1;0;44
DANIBOY;#N/D;2;1;33
DANIBOY;#N/D;3;3;28
DANIBOY;#N/D;4;0;16
DANIBOY;#N/D;5;0;19
NENEXFPS;#N/D;1;2;30
NENEXFPS;#N/D;2;1;28
NENEXFPS;#N/D;3;8;13
NENEXFPS;#N/D;4;0;44
NENEXFPS;#N/D;5;0;32
KAIKPCB;#N/D;1;0;44
KAIKPCB;#N/D;2;2;25
KAIKPCB;#N/D;3;3;26
KAIKPCB;#N/D;4;4;13
KAIKPCB;#N/D;5;6;11
INEWWS;mouse;1;2;4
INEWWS;mouse;2;2;19
INEWWS;mouse;3;5;5
INEWWS;mouse;4;0;44
INEWWS;mouse;5;3;9
RZERA;mouse;1;1;33
RZERA;mouse;2;1;26
RZERA;mouse;3;1;30
RZERA;mouse;4;1;35
RZERA;mouse;5;0;29
ABOJEK;controle;1;8;15
ABOJEK;controle;2;4;21
ABOJEK;controle;3;2;14
ABOJEK;controle;4;5;7
ABOJEK;controle;5;6;3
ALAURAPS;mouse;1;0;40
ALAURAPS;mouse;2;3;7
ALAURAPS;mouse;3;0;33
ALAURAPS;mouse;4;2;20
ALAURAPS;mouse;5;0;26
AIMREISZZ;controle;1;0;36
AIMREISZZ;controle;2;6;20
AIMREISZZ;controle;3;5;16
AIMREISZZ;controle;4;1;22
AIMREISZZ;controle;5;5;21
XGUSS_;controle;1;4;20
XGUSS_;controle;2;4;10
XGUSS_;controle;3;2;29
XGUSS_;controle;4;1;25
XGUSS_;controle;5;5;5
GEPEGE;controle;1;0;44
GEPEGE;controle;2;0;44
GEPEGE;controle;3;0;44
GEPEGE;controle;4;0;44
GEPEGE;controle;5;0;44
KALORINE;controle;1;1;29
KALORINE;controle;2;2;24
KALORINE;controle;3;1;23
KALORINE;controle;4;0;44
KALORINE;controle;5;1;27
NINEXT;mouse;1;4;28
NINEXT;mouse;2;7;3
NINEXT;mouse;3;5;8
NINEXT;mouse;4;0;44
NINEXT;mouse;5;5;18
